1.568842,	-0.005711,	-6.707494,	-6.210961,	-3.365436,	-6.223603,	
-1.698715,	-0.001093,	-10.156526,	-1.642694,	-5.223940,	-2.303448,	
2.037452,	-0.000682,	7.096286,	-5.839194,	2.485013,	-4.719670,	
0.438224,	-0.002666,	-13.721521,	-7.867443,	-5.588667,	-2.813208,	
-2.189253,	-0.000146,	6.260714,	-6.033322,	1.660726,	-5.070666,	
1.349474,	-0.002713,	8.562979,	-4.624540,	4.898146,	-5.686813,	
0.685170,	-0.001338,	-9.477444,	-9.317710,	-1.619780,	-8.064869,	
-1.189687,	-0.005019,	-5.491792,	-8.530037,	-1.226660,	-8.068072,	
-1.808248,	-0.002904,	5.564044,	-6.595475,	2.071561,	-6.114038,	
-0.918217,	-0.005351,	-2.543982,	-8.929462,	1.793384,	-10.026081,	
-1.631343,	-0.005149,	5.092352,	-6.892272,	2.358981,	-6.761656,	
1.570174,	-0.002653,	-9.724502,	-3.641184,	-4.865958,	-3.651065,	
-1.541001,	-0.005121,	-8.332253,	-5.370103,	-4.074876,	-5.227851,	
0.083137,	-0.006025,	5.658466,	-3.652068,	9.222901,	-12.838333,	
1.475883,	-0.001565,	-8.646928,	-5.491220,	-4.085286,	-5.110420,	
-1.508980,	-0.000155,	-10.049732,	-3.796730,	-4.916726,	-3.492227,	
1.287725,	-0.006842,	6.128674,	-6.184000,	4.058559,	-7.290891,	
1.263699,	-0.001127,	-4.998858,	-8.233810,	-1.319187,	-7.836446,	
0.181678,	-0.001634,	-11.872793,	-9.715688,	-2.245281,	-7.508026,	
-0.444840,	-0.004092,	-10.918042,	-9.688649,	-1.823441,	-8.039469,	
2.439915,	-0.005255,	-2.623084,	-3.657519,	-3.846224,	-6.608118,	
-0.462492,	-0.002870,	-9.381032,	-9.942254,	-0.393207,	-9.589855,	
0.145724,	-0.009845,	10.397953,	0.112698,	10.045451,	-9.811438,	
-0.353048,	-0.005170,	9.419454,	-1.284084,	9.520223,	-10.234028,	
0.466648,	-0.001870,	9.376833,	-1.550185,	8.937514,	-9.524579,	
-1.936095,	-0.006096,	-0.315649,	-6.818661,	-1.445616,	-7.326835,	
1.720227,	-0.002402,	3.711121,	-7.343205,	1.315277,	-7.144270,	
-0.061524,	-0.002843,	-0.477162,	-7.425561,	6.911844,	-14.325508,	
-1.442325,	-0.003369,	4.044368,	-7.521781,	2.538521,	-7.855492,	
1.688560,	-0.000909,	1.453906,	-7.592756,	0.279442,	-7.559672,	
2.269002,	-0.003473,	2.980516,	-6.195362,	-0.643328,	-6.610631,	
0.837077,	-0.003798,	-3.149414,	-9.204679,	1.921331,	-10.485843,	
0.183428,	-0.009240,	-10.001777,	-10.223905,	0.031787,	-10.255104,	
-0.342243,	-0.006399,	-8.575018,	-10.095677,	0.862915,	-10.910383,	
0.559813,	-0.006558,	10.784151,	-0.572231,	8.748296,	-7.954511,	
1.697528,	-0.004270,	7.820128,	-5.902053,	3.554908,	-5.437684,	
-0.464469,	-0.001752,	-12.996513,	-8.893467,	-4.201151,	-5.134096,	
-0.471411,	-0.001858,	7.826330,	-3.002671,	8.718874,	-10.777906,	
0.389270,	-0.002309,	13.602387,	4.196080,	8.487644,	-3.649111,	
-2.282750,	-0.001635,	-0.249590,	-5.372845,	-2.383223,	-6.926887,	
-1.495448,	-0.000726,	9.431539,	-4.438298,	4.898574,	-4.810594,	
-0.719647,	-0.004814,	-1.270854,	-8.647787,	3.679159,	-11.426298,	
-1.329575,	-0.000286,	4.808154,	-7.195767,	3.360685,	-7.999529,	
1.773737,	-0.005487,	-0.079291,	-7.302654,	-0.812582,	-7.470795,	
2.257417,	-0.006953,	-2.122019,	-4.947310,	-3.321030,	-7.070410,	
0.057683,	-0.009794,	-10.605940,	-10.293348,	-0.334496,	-9.959613,	
2.789515,	-0.002552,	-7.020244,	1.629575,	-4.913030,	-2.986389,	
-2.114222,	-0.000486,	-3.828720,	-4.770201,	-3.631288,	-6.646324,	
2.163149,	-0.004671,	-1.814545,	-5.476770,	-2.905961,	-7.110453,	
0.031495,	-0.006767,	-10.592992,	-10.266488,	-0.333529,	-9.933203,	
-2.779102,	-0.000097,	-4.144866,	-1.489417,	-4.918641,	-6.088260,	
0.852580,	-0.006740,	-8.184921,	-9.474428,	-1.270016,	-8.645167,	
2.170959,	-0.001662,	4.309429,	-6.549421,	0.358140,	-6.346661,	
1.181159,	-0.004041,	-5.926418,	-8.762167,	-1.415553,	-8.229760,	
0.054756,	-0.012326,	-2.398968,	-8.392191,	5.947623,	-14.326437,	
-1.410656,	-0.003542,	-6.026502,	-7.903109,	-2.401216,	-7.511825,	
-1.337079,	-0.001004,	6.538901,	-6.598328,	4.148951,	-7.563257,	
1.902647,	-0.001842,	-6.300900,	-4.658322,	-4.135139,	-6.012725,	
-2.070907,	-0.003047,	-8.082145,	-1.797481,	-5.042976,	-4.202207,	
-0.498813,	-0.002364,	12.378318,	1.480604,	9.028241,	-6.457744,	
1.104548,	-0.000726,	12.877373,	1.777263,	6.716481,	-1.237695,	
-0.311855,	-0.012253,	-2.878784,	-8.771432,	5.061061,	-13.607043,	
2.407410,	-0.000375,	-8.022922,	0.911746,	-5.071334,	-2.854377,	
-1.909326,	-0.003474,	-4.324836,	-5.772564,	-3.289316,	-6.854162,	
1.086615,	-0.000334,	6.301171,	-6.060515,	5.113509,	-8.439260,	
1.412750,	-0.006028,	-5.425780,	-7.905293,	-2.138854,	-7.581400,	
0.344328,	-0.000536,	-3.524235,	-9.005900,	4.443557,	-13.187827,	
0.366234,	-0.008302,	-9.754110,	-10.169082,	-0.255747,	-9.931064,	
2.491785,	-0.006915,	-2.560975,	-3.738589,	-4.085000,	-7.008081,	
3.075791,	-0.002438,	1.421574,	-4.409561,	-2.967240,	-7.370847,	
0.584189,	-0.003835,	-6.871237,	-9.937114,	1.068147,	-10.825854,	
-0.100052,	-0.000960,	-9.764026,	-10.319934,	0.500385,	-10.817864,	
-2.189982,	-0.006760,	-1.921633,	-5.451376,	-3.028003,	-7.192036,	
2.191240,	-0.006704,	-1.805287,	-5.472511,	-3.030137,	-7.250709,	
